customer_id,gender,senior_citizen,partner,dependents,tenure,phone_service,multiple_line,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,total_charges,churn
0042-RLHYP,Female,0,Yes,Yes,69,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year",No,"Bank transfer (automatic)",19.7,1396.90,"No"
0048-LUMLS,Male,0,Yes,Yes,37,Yes,No,"Fiber optic",No,No,No,No,Yes,Yes,"One year",No,"Credit card (automatic)",91.2,3247.55,"No"
0048-PIHNL,Female,0,Yes,No,49,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year",No,"Bank transfer (automatic)",20.45,900.90,"No"
0052-DCKON,Male,0,Yes,No,66,Yes,Yes,"Fiber optic",Yes,Yes,Yes,Yes,Yes,Yes,"One year",No,"Bank transfer (automatic)",115.8,7942.15,"No"
0052-YNYOT,Female,0,No,No,67,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year",No,"Electronic check",20.55,1343.40,"No"
0056-EPFBG,Male,0,Yes,Yes,20,No,"No phone service",DSL,Yes,No,Yes,Yes,No,No,"Two year",Yes,"Credit card (automatic)",39.4,825.40,"No"
0057-QBUQH,Female,0,No,Yes,43,Yes,Yes,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year",Yes,"Electronic check",25.1,1070.15,"No"
0058-EVZWM,Female,0,Yes,No,55,Yes,Yes,"Fiber optic",Yes,No,No,No,Yes,No,Month-to-month,Yes,"Bank transfer (automatic)",89.8,4959.60,"No"
0060-FUALY,Female,0,Yes,No,59,Yes,Yes,"Fiber optic",Yes,Yes,No,No,Yes,No,Month-to-month,Yes,"Electronic check",94.75,5597.65,"No"
0064-SUDOG,Female,0,Yes,Yes,12,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year",No,"Bank transfer (automatic)",20.3,224.50,"No"
0064-YIJGF,Male,0,Yes,Yes,27,Yes,Yes,"Fiber optic",No,No,No,No,No,No,Month-to-month,Yes,"Bank transfer (automatic)",75.75,1929.00,"No"
0067-DKWBL,Male,1,No,No,2,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,"Electronic check",49.25,91.10,"Yes"
0068-FIGTF,Female,0,No,No,27,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,"One year",No,"Mailed check",78.2,2078.95,"No"
0071-NDAFP,Male,0,Yes,Yes,25,Yes,Yes,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year",No,"Credit card (automatic)",25.5,630.60,"No"
0074-HDKDG,Male,0,Yes,Yes,25,Yes,No,DSL,Yes,Yes,Yes,No,No,No,"One year",Yes,"Bank transfer (automatic)",61.6,1611.00,"No"
0076-LVEPS,Male,0,No,Yes,29,No,"No phone service",DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,"Mailed check",45,1242.45,"No"
0078-XZMHT,Male,0,Yes,No,72,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,"Two year",Yes,"Bank transfer (automatic)",85.15,6316.20,"No"
0080-EMYVY,Female,0,No,No,14,Yes,No,DSL,No,Yes,No,No,No,No,"One year",No,"Credit card (automatic)",51.45,727.85,"No"
0080-OROZO,Female,0,No,No,35,Yes,No,"Fiber optic",No,No,Yes,Yes,Yes,Yes,"One year",Yes,"Electronic check",99.25,3532.00,"No"
0082-LDZUE,Male,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,"Mailed check",44.3,44.30,"No"
0082-OQIQY,Male,0,No,No,29,Yes,No,"Fiber optic",No,No,No,Yes,Yes,Yes,Month-to-month,Yes,"Electronic check",94.2,2607.60,"No"
0083-PIVIK,Male,0,No,No,64,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,"One year",No,"Electronic check",81.25,5567.55,"No"
0089-IIQKO,Female,0,Yes,Yes,39,Yes,Yes,"Fiber optic",No,No,No,Yes,Yes,Yes,Month-to-month,Yes,"Credit card (automatic)",99.95,3767.40,"No"
0093-EXYQL,Female,1,No,No,40,Yes,No,"Fiber optic",No,No,No,No,Yes,Yes,Month-to-month,Yes,"Electronic check",91.55,3673.60,"No"
0093-XWZFY,Male,0,No,No,40,Yes,Yes,"Fiber optic",No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,"Credit card (automatic)",104.5,4036.85,"Yes"
0094-OIFMO,Female,1,No,No,11,Yes,No,"Fiber optic",No,Yes,No,No,Yes,Yes,Month-to-month,Yes,"Electronic check",95,1120.30,"Yes"
0096-BXERS,Female,0,Yes,No,6,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,"Electronic check",50.35,314.55,"No"
0096-FCPUF,Male,0,No,No,30,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,"Mailed check",64.5,1888.45,"No"
0098-BOWSO,Male,0,No,No,27,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",Month-to-month,Yes,"Electronic check",19.4,529.80,"No"
0100-DUVFC,Male,1,Yes,No,70,Yes,Yes,"Fiber optic",No,Yes,Yes,No,Yes,Yes,"One year",Yes,"Electronic check",104.8,7308.95,"No"
0103-CSITQ,Female,0,Yes,No,57,Yes,Yes,"Fiber optic",No,Yes,Yes,Yes,Yes,Yes,"One year",Yes,"Bank transfer (automatic)",109.4,6252.70,"No"
0104-PPXDV,Male,0,Yes,No,58,Yes,No,DSL,No,No,Yes,No,No,No,"One year",No,"Credit card (automatic)",50.3,2878.55,"No"
0106-GHRQR,Male,0,No,No,16,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,"Bank transfer (automatic)",71.4,1212.10,"No"
0106-UGRDO,Female,0,Yes,No,69,Yes,Yes,"Fiber optic",Yes,Yes,Yes,Yes,Yes,Yes,"Two year",Yes,"Electronic check",116,8182.85,"No"
0107-WESLM,Male,0,No,No,1,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",Month-to-month,Yes,"Electronic check",19.85,19.85,"Yes"
0107-YHINA,Male,0,No,Yes,1,Yes,Yes,"Fiber optic",No,No,Yes,No,Yes,Yes,Month-to-month,Yes,"Electronic check",99.75,99.75,"Yes"
0111-KLBQG,Male,1,Yes,Yes,32,Yes,No,"Fiber optic",No,Yes,No,No,Yes,Yes,Month-to-month,Yes,"Mailed check",93.95,2861.45,"No"
0112-QAWRZ,Male,0,Yes,Yes,16,Yes,Yes,"Fiber optic",No,No,Yes,No,Yes,No,Month-to-month,Yes,"Bank transfer (automatic)",90.8,1442.20,"No"
0112-QWPNC,Male,0,Yes,No,49,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,"One year",No,"Electronic check",84.35,4059.35,"Yes"
0114-IGABW,Female,0,Yes,No,71,No,"No phone service",DSL,No,Yes,Yes,Yes,Yes,Yes,"Two year",No,"Bank transfer (automatic)",58.25,4145.90,"No"
0114-PEGZZ,Female,0,No,No,33,Yes,Yes,"Fiber optic",No,Yes,Yes,No,Yes,Yes,Month-to-month,No,"Electronic check",107.55,3645.50,"No"
0114-RSRRW,Female,0,Yes,No,10,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",Month-to-month,Yes,"Bank transfer (automatic)",19.95,187.75,"No"
0115-TFERT,Male,0,Yes,No,21,Yes,Yes,"Fiber optic",No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,"Electronic check",111.2,2317.10,"Yes"
0117-LFRMW,Male,0,Yes,Yes,37,No,"No phone service",DSL,Yes,Yes,Yes,No,No,No,Month-to-month,No,"Bank transfer (automatic)",40.2,1448.80,"Yes"
0118-JPNOY,Female,1,No,No,26,Yes,No,"Fiber optic",Yes,No,No,No,Yes,No,Month-to-month,Yes,"Credit card (automatic)",85.8,2193.65,"No"
0121-SNYRK,Male,0,No,No,50,No,"No phone service",DSL,Yes,No,No,Yes,No,No,"One year",Yes,"Mailed check",35.4,1748.90,"No"
0122-OAHPZ,Female,0,No,No,7,Yes,Yes,"Fiber optic",No,No,No,No,No,No,Month-to-month,Yes,"Electronic check",73.85,511.25,"Yes"
0123-CRBRT,Female,0,Yes,Yes,61,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,"Two year",No,"Mailed check",88.1,5526.75,"No"
0125-LZQXK,Male,0,No,No,15,Yes,No,"Fiber optic",No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,"Electronic check",101.35,1553.95,"Yes"
0128-MKWSG,Female,0,No,Yes,26,No,"No phone service",DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,"Mailed check",45.8,1147.00,"No"
0129-KPTWJ,Male,0,Yes,No,72,Yes,No,"Fiber optic",No,No,Yes,No,Yes,Yes,Month-to-month,Yes,"Electronic check",94.65,6747.35,"No"
0129-QMPDR,Male,0,Yes,Yes,44,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year",Yes,"Bank transfer (automatic)",20.5,865.05,"No"
0130-SXOUN,Male,0,No,No,66,Yes,Yes,"Fiber optic",No,Yes,No,No,No,Yes,Month-to-month,No,"Credit card (automatic)",89.4,5976.90,"No"
0133-BMFZO,Female,0,No,No,2,Yes,No,"Fiber optic",Yes,Yes,No,Yes,No,No,Month-to-month,Yes,"Electronic check",86.25,181.65,"Yes"
0134-XWXCE,Female,1,No,No,44,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,"One year",No,"Bank transfer (automatic)",74.85,3268.05,"No"
0135-NMXAP,Female,0,No,No,12,Yes,Yes,"Fiber optic",No,Yes,No,No,Yes,No,Month-to-month,Yes,"Bank transfer (automatic)",89.75,1052.40,"Yes"
0136-IFMYD,Male,1,Yes,No,69,Yes,Yes,"Fiber optic",No,Yes,Yes,Yes,Yes,Yes,"Two year",Yes,"Electronic check",109.95,7634.25,"No"
0137-OCGAB,Female,0,No,No,1,Yes,Yes,"Fiber optic",No,Yes,No,No,No,No,Month-to-month,Yes,"Mailed check",80.2,80.20,"Yes"
0137-UDEUO,Female,0,No,No,3,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",Month-to-month,No,"Mailed check",19.85,63.75,"Yes"
0139-IVFJG,Female,0,Yes,No,2,Yes,No,"Fiber optic",Yes,Yes,No,No,Yes,No,Month-to-month,No,"Electronic check",90.35,190.50,"No"
0141-YEAYS,Female,1,No,No,27,Yes,Yes,"Fiber optic",No,Yes,Yes,No,No,No,Month-to-month,Yes,"Bank transfer (automatic)",86.45,2401.05,"No"
0142-GVYSN,Male,0,No,No,26,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",Month-to-month,Yes,"Electronic check",20.3,511.25,"No"
0147-ESWWR,Female,1,Yes,No,39,Yes,Yes,"Fiber optic",No,No,No,Yes,Yes,Yes,Month-to-month,Yes,"Electronic check",101.25,3949.15,"No"
0148-DCDOS,Male,0,No,No,25,Yes,Yes,"Fiber optic",No,No,No,No,Yes,Yes,Month-to-month,Yes,"Bank transfer (automatic)",94.7,2362.10,"Yes"
0151-ONTOV,Female,0,No,No,1,Yes,No,"Fiber optic",No,No,No,No,No,No,Month-to-month,No,"Mailed check",70.9,70.90,"Yes"
0156-FVPTA,Male,0,Yes,No,22,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,"Electronic check",54.2,1152.70,"Yes"
0164-APGRB,Female,0,No,No,72,Yes,Yes,"Fiber optic",Yes,Yes,Yes,Yes,Yes,Yes,"Two year",Yes,"Electronic check",114.9,8496.70,"No"
0164-XAIRP,Female,0,No,No,24,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year",Yes,"Bank transfer (automatic)",19.55,470.20,"No"
0168-XZKBB,Female,0,Yes,No,19,Yes,Yes,"Fiber optic",No,No,No,No,Yes,No,Month-to-month,Yes,"Electronic check",86.85,1564.40,"No"
0174-QRVVY,Male,0,Yes,Yes,71,Yes,Yes,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year",No,"Credit card (automatic)",25.35,1847.55,"No"
0177-PXBAT,Male,1,Yes,No,33,Yes,Yes,"Fiber optic",Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,"Bank transfer (automatic)",109.9,3694.70,"No"
0178-CIIKR,Female,0,No,No,3,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",Month-to-month,No,"Mailed check",19.95,58.00,"No"
0178-SZBHO,Male,0,Yes,Yes,47,Yes,Yes,"Fiber optic",No,Yes,No,No,Yes,No,Month-to-month,No,"Electronic check",87.2,4017.45,"No"
0181-RITDD,Male,0,Yes,Yes,62,Yes,No,"Fiber optic",Yes,Yes,Yes,Yes,Yes,Yes,"Two year",No,"Mailed check",108.15,6825.65,"No"
0186-CAERR,Male,0,No,No,71,Yes,Yes,"Fiber optic",Yes,Yes,Yes,Yes,Yes,Yes,"One year",Yes,"Bank transfer (automatic)",116.3,8309.55,"No"
0187-QSXOE,Male,1,Yes,No,7,Yes,No,"Fiber optic",No,No,No,No,Yes,Yes,Month-to-month,Yes,"Electronic check",89,605.45,"No"
0187-WZNAB,Female,0,Yes,Yes,27,Yes,No,"Fiber optic",Yes,No,No,No,No,No,Month-to-month,No,"Mailed check",74.4,1972.35,"No"
0188-GWFLE,Male,0,No,No,2,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",Month-to-month,No,"Mailed check",20.05,33.70,"No"
0191-EQUUH,Female,0,No,Yes,25,No,"No phone service",DSL,Yes,No,No,Yes,No,No,"Two year",No,"Bank transfer (automatic)",35.05,844.45,"No"
0191-ZHSKZ,Male,1,No,No,30,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,"Electronic check",74.75,2111.30,"No"
0193-ESZXP,Female,1,Yes,No,58,Yes,No,"Fiber optic",Yes,Yes,No,Yes,Yes,Yes,"One year",Yes,"Credit card (automatic)",105.5,6205.50,"Yes"
0195-IESCP,Male,0,Yes,No,10,Yes,Yes,"Fiber optic",No,No,No,No,No,Yes,Month-to-month,Yes,"Electronic check",85.25,855.30,"Yes"
0196-JTUQI,Female,0,No,No,9,Yes,Yes,"Fiber optic",No,No,No,No,No,No,Month-to-month,Yes,"Credit card (automatic)",75.2,633.85,"No"
0196-VULGZ,Female,1,Yes,No,6,Yes,Yes,"Fiber optic",No,No,No,No,No,Yes,Month-to-month,Yes,"Electronic check",84.35,474.90,"Yes"
0197-PNKNK,Female,0,Yes,Yes,69,Yes,Yes,"Fiber optic",Yes,No,Yes,No,No,No,"One year",No,"Bank transfer (automatic)",84.45,5848.60,"No"
0201-MIBOL,Female,1,No,No,66,Yes,Yes,"Fiber optic",Yes,No,No,No,Yes,Yes,"Two year",Yes,"Bank transfer (automatic)",102.4,6471.85,"No"
0201-OAMXR,Female,0,No,No,70,Yes,Yes,"Fiber optic",Yes,Yes,Yes,Yes,Yes,Yes,"One year",No,"Credit card (automatic)",115.55,8127.60,"Yes"
0203-HHYIJ,Male,0,No,No,25,Yes,Yes,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year",No,"Bank transfer (automatic)",25.3,676.35,"Yes"
0206-OYVOC,Female,0,Yes,Yes,46,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year",Yes,"Mailed check",19.25,864.20,"No"
0206-TBWLC,Female,0,Yes,No,54,Yes,Yes,"Fiber optic",Yes,Yes,Yes,Yes,Yes,Yes,"One year",Yes,"Mailed check",114.65,6049.50,"No"
0207-MDKNV,Female,0,No,No,15,Yes,No,"Fiber optic",Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,"Electronic check",105.1,1582.75,"Yes"
0208-BPQEJ,Female,0,Yes,Yes,12,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",Month-to-month,No,"Bank transfer (automatic)",19.4,198.10,"No"
0212-ISBBF,Female,0,No,No,22,No,"No phone service",DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,"Electronic check",50.35,1098.85,"No"
0214-JHPFW,Female,0,Yes,No,70,No,"No phone service",DSL,No,Yes,Yes,Yes,Yes,Yes,"Two year",No,"Bank transfer (automatic)",57.8,4039.30,"No"
0215-BQKGS,Male,0,No,No,30,Yes,No,"Fiber optic",Yes,Yes,Yes,No,No,No,Month-to-month,Yes,"Credit card (automatic)",84.3,2438.60,"No"
0218-QNVAS,Male,0,Yes,Yes,71,Yes,Yes,"Fiber optic",No,Yes,No,No,Yes,Yes,"One year",No,"Bank transfer (automatic)",100.55,7113.75,"No"
0219-QAERP,Male,0,Yes,No,30,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year",No,"Credit card (automatic)",19.8,576.65,"No"
0219-YTZUE,Male,0,Yes,Yes,4,Yes,Yes,"Fiber optic",No,Yes,Yes,No,No,No,Month-to-month,Yes,"Bank transfer (automatic)",84.8,371.90,"Yes"
0220-EBGCE,Male,0,No,No,2,Yes,No,"Fiber optic",No,No,Yes,No,No,Yes,Month-to-month,Yes,"Electronic check",85.85,167.30,"Yes"
0221-NAUXK,Male,0,No,Yes,10,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year",Yes,"Bank transfer (automatic)",19.95,219.50,"No"
0221-WMXNQ,Male,1,No,No,4,Yes,No,"Fiber optic",Yes,No,No,No,No,No,Month-to-month,No,"Electronic check",75.35,273.40,"No"
0222-CNVPT,Male,1,No,No,52,No,"No phone service",DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,"Credit card (automatic)",48.8,2555.05,"No"
0224-HJAPT,Male,0,No,No,5,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,"Electronic check",47.15,223.15,"Yes"
0224-NIJLP,Male,0,Yes,Yes,8,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year",No,"Mailed check",20.15,165.50,"No"
0224-RLWWD,Female,1,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,"Electronic check",44.3,89.30,"No"
0225-ZORZP,Male,0,No,No,3,Yes,No,"Fiber optic",No,Yes,No,No,No,Yes,Month-to-month,No,"Electronic check",84.3,235.05,"No"
0228-MAUWC,Male,0,No,No,19,Yes,Yes,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,"Electronic check",59.55,1144.60,"No"
0229-LFJAF,Male,0,No,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,"Two year",No,"Bank transfer (automatic)",69.65,4908.25,"No"
0230-UBYPQ,Male,1,Yes,No,63,No,"No phone service",DSL,Yes,No,No,Yes,No,No,"One year",No,"Bank transfer (automatic)",36.1,2298.90,"No"
0230-WEQUW,Male,0,Yes,No,66,No,"No phone service",DSL,Yes,Yes,Yes,Yes,Yes,No,"Two year",Yes,"Bank transfer (automatic)",56.6,3789.20,"No"
0231-LXVAP,Male,0,No,No,1,Yes,No,"Fiber optic",No,No,No,Yes,No,No,Month-to-month,Yes,"Electronic check",75.9,75.90,"Yes"
0233-FTHAV,Female,0,No,No,60,Yes,Yes,"Fiber optic",No,No,Yes,No,No,No,"One year",Yes,"Bank transfer (automatic)",79.2,4765.00,"No"
0234-TEVTT,Female,0,Yes,Yes,48,No,"No phone service",DSL,Yes,No,Yes,No,No,Yes,"One year",No,"Credit card (automatic)",45,2196.30,"No"
0235-KGSLC,Female,0,No,No,1,Yes,No,"Fiber optic",No,No,Yes,No,Yes,No,Month-to-month,Yes,"Credit card (automatic)",85.55,85.55,"Yes"
0236-HFWSV,Male,0,No,No,15,Yes,Yes,"Fiber optic",No,No,No,No,Yes,Yes,Month-to-month,Yes,"Electronic check",93.35,1444.65,"Yes"
0237-YFUTL,Female,0,Yes,No,50,Yes,Yes,"Fiber optic",Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,"Bank transfer (automatic)",109.65,5405.80,"No"
0238-WHBIQ,Male,0,Yes,Yes,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,"Two year",No,"Credit card (automatic)",89.7,6339.30,"No"
0239-OXEXL,Female,0,No,No,46,Yes,Yes,"Fiber optic",Yes,Yes,No,No,No,No,Month-to-month,No,"Mailed check",84.25,3847.60,"No"
0244-LGNFY,Female,0,Yes,Yes,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,"Two year",No,"Bank transfer (automatic)",92.65,6733.00,"No"
0247-SLUJI,Male,0,Yes,Yes,1,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",Month-to-month,No,"Mailed check",19.7,19.70,"No"
0248-IPDFW,Female,0,No,No,1,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,"Electronic check",50.1,50.10,"No"
0248-PGHBZ,Female,1,No,No,67,Yes,No,"Fiber optic",Yes,Yes,No,Yes,Yes,No,"Two year",Yes,"Bank transfer (automatic)",92.45,6140.85,"No"
0253-ZTEOB,Female,0,Yes,Yes,48,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,"Two year",No,"Electronic check",79.65,3870.30,"No"
0254-FNMCI,Female,0,No,No,72,Yes,No,"Fiber optic",Yes,Yes,Yes,Yes,Yes,Yes,"Two year",Yes,"Electronic check",109.9,7624.20,"No"
0254-KCJGT,Male,0,Yes,No,52,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,"One year",Yes,"Credit card (automatic)",81.4,4354.45,"No"
0254-WWRKD,Female,0,Yes,Yes,67,Yes,No,DSL,No,Yes,No,No,No,No,"One year",No,"Credit card (automatic)",50.55,3431.75,"No"
0256-LTHVJ,Female,0,Yes,Yes,28,Yes,No,"Fiber optic",No,No,No,No,No,Yes,Month-to-month,Yes,"Electronic check",81.05,2227.10,"Yes"
0257-KXZGU,Female,0,Yes,Yes,32,Yes,Yes,DSL,No,Yes,Yes,No,No,No,Month-to-month,No,"Bank transfer (automatic)",62.45,2045.55,"No"
0257-ZESQC,Female,1,Yes,No,27,Yes,No,"Fiber optic",Yes,No,No,No,No,No,Month-to-month,Yes,"Bank transfer (automatic)",75.2,1929.35,"Yes"
0258-NOKBL,Male,0,No,No,3,Yes,No,"Fiber optic",No,Yes,Yes,No,No,Yes,Month-to-month,No,"Electronic check",90.4,268.45,"No"
0259-GBZSH,Male,0,No,No,2,Yes,Yes,"Fiber optic",No,No,No,No,Yes,No,Month-to-month,Yes,"Electronic check",85.65,181.50,"Yes"
